	LacZ_enriched_722	LacZ_723	lacZ_enriched_815	AC2_enriched_722	AC2_723	AC2_enriched_815	AC6_enriched_722	AC6_723	AC6_enriched_815
STIP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
S10AB	NA	1.017	NA	NA	0.83	NA	NA	NA	NA
PRDX2	NA	NA	NA	NA	NA	0.899	0.731	NA	0.721
GLPK	1.15	1.086	1.086	0.919	1.171	1.164	0.827	NA	1.461
DCTD	NA	NA	3.301	NA	NA	2.343	NA	NA	1.524
P5CR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NAC1	1.516	0.918	1.565	1.307	0.84	1.749	1.294	0.815	1.944
GBP1	NA	NA	NA	NA	NA	NA	NA	NA	1.169
GBP2	1.065	NA	0.884	0.819	NA	0.821	NA	1.622	0.585
ELF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TF2H1	NA	NA	NA	NA	NA	NA	NA	NA	NA
STX2	NA	0.948	NA	NA	0.988	NA	NA	0.88	NA
RL9	NA	NA	NA	NA	NA	NA	NA	NA	NA
C2TA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACSL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
KINH	NA	NA	NA	NA	NA	1.293	NA	NA	1.36
CSTF2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUT	1.195	0.984	1.192	0.984	1.03	1.336	0.974	0.879	1.389
MRP1	1.18	0.96	1.017	0.957	1.129	1.181	0.883	0.889	1.169
H2B1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCD1	NA	1.076	1.014	NA	NA	1.184	NA	NA	NA
ERD22	1.138	NA	NA	1.177	NA	1.177	0.937	NA	1.232
MCM4	NA	NA	1.066	NA	NA	1.138	0.98	NA	1.203
MCM5	NA	0.908	1.111	0.968	1.225	1.894	0.954	0.87	NA
MCM7	NA	NA	NA	NA	NA	NA	NA	NA	NA
GALNS	NA	0.88	NA	NA	NA	1.31	NA	NA	NA
GLYC	NA	NA	0.868	NA	NA	1.152	NA	NA	1.154
GLYM	NA	NA	NA	NA	NA	NA	NA	NA	NA
EVI2B	NA	1.269	NA	1.1	NA	1.687	NA	NA	NA
HSP74	NA	1.142	NA	NA	NA	NA	0.941	NA	NA
GPC1	18.795	NA	NA	97.51	1.18	NA	27.014	NA	NA
PROF2	0.939	0.812	NA	0.484	1.098	NA	0.574	0.664	NA
CTNA1	1.214	0.943	NA	0.97	0.951	1.151	0.914	0.784	0.953
CTNB1	1.833	0.628	2.287	2.049	0.805	2.576	1.674	0.629	2.834
PHB	NA	0.949	NA	NA	NA	NA	NA	NA	NA
SPB6	16.467	NA	NA	NA	NA	NA	NA	NA	NA
MERL	NA	1.025	0.646	NA	1.092	0.982	NA	0.85	1.183
RADI	NA	0.946	NA	1.012	1.045	NA	0.908	0.837	NA
RFA3	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFC4	NA	1.073	NA	NA	NA	1.247	1.008	0.812	NA
RFC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFC1	1.486	NA	1.13	NA	NA	1.378	NA	NA	1.299
RL22	NA	1.021	1.048	NA	1.149	1.196	NA	0.916	1.198
T2FA	1.188	0.983	0.87	0.982	1.153	1.087	0.881	0.849	0.6
SPRE	NA	0.986	NA	NA	1.109	1.182	NA	0.916	1.189
HRH1	NA	0.897	NA	NA	0.943	NA	0.947	0.809	NA
K1C9	NA	NA	NA	NA	NA	1.075	0.936	NA	NA
FBN1	NA	NA	1.006	0.62	0.853	1.246	NA	NA	1.179
IRS1	NA	NA	1.171	0.857	1.015	1.314	NA	NA	NA
MYH9	1.114	0.917	0.937	0.925	1.101	1.144	0.854	0.85	1.055
MYH10	NA	NA	NA	NA	NA	NA	NA	NA	NA
COPB2	NA	NA	1.022	NA	NA	1.003	NA	NA	1.024
SOAT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADDA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BASI	NA	0.935	NA	NA	1.121	1.157	NA	0.822	1.166
TIMP3	NA	0.777	NA	NA	NA	NA	NA	NA	NA
ARBK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NU214	1.172	NA	NA	NA	NA	1.185	NA	NA	1.075
DEK	1.184	0.999	NA	0.95	1.081	NA	0.908	0.857	1.19
SOX5	NA	NA	NA	NA	NA	NA	NA	NA	NA
GLRX1	NA	NA	1.059	NA	0.993	0.951	NA	0.778	NA
CHKA	1.09	0.957	NA	0.996	1.203	NA	0.92	0.849	NA
PPM1A	NA	NA	1.012	NA	NA	1.41	NA	NA	NA
K22E	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMGCL	1.137	1.043	1.101	1.032	1.178	1.352	0.935	0.978	1.326
PRS7	NA	0.993	NA	NA	1.103	NA	NA	0.808	NA
MOT8	NA	NA	NA	NA	NA	NA	NA	NA	NA
CXG1	NA	0.939	NA	NA	1.12	NA	NA	0.855	NA
ARL2	1	0.908	0.844	0.902	1.214	0.939	0.895	0.912	0.93
ARL3	NA	NA	NA	NA	NA	NA	NA	NA	NA
MP2K2	NA	NA	NA	NA	NA	NA	0.807	NA	NA
ATPG	1.266	1.018	1.029	1.047	1.069	1.123	0.98	0.629	1.269
VATE1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HEM6	NA	NA	1.186	NA	NA	1.329	0.722	NA	1.181
RL4	1.207	0.949	NA	0.33	0.981	1.236	NA	0.787	NA
8ODP	1.154	NA	1.023	0.944	1.204	1.241	0.895	0.883	1.275
LONM	0.948	1.045	1.227	0.863	1.428	1.48	0.755	0.595	1.542
PGM1	NA	NA	1.047	NA	NA	1.055	NA	NA	NA
PP1G	NA	1.033	NA	NA	NA	NA	NA	0.909	NA
GNL1	NA	0.973	0.761	NA	0.912	NA	NA	NA	NA
RPB9	NA	NA	NA	NA	NA	NA	NA	NA	NA
PEDF	1.223	NA	NA	NA	NA	NA	0.839	NA	NA
ODO2	NA	NA	1.022	NA	1.122	1.174	0.871	0.889	1.152
GPX4	NA	NA	0.921	NA	NA	1.229	NA	NA	1.098
SRP14	NA	NA	NA	NA	NA	NA	NA	NA	NA
TGFR2	NA	NA	NA	0.851	NA	NA	NA	NA	1.229
NUP62	NA	0.966	NA	NA	1.345	NA	NA	NA	NA
HPCL1	NA	0.893	NA	NA	1.092	NA	0.789	0.812	NA
FDFT	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZEB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAGL2	1.07	NA	1.03	0.95	NA	1.337	0.896	NA	1.171
TALDO	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETFB	NA	0.953	2.077	NA	1.105	NA	NA	0.762	NA
RBMX	NA	NA	1.098	NA	NA	1.169	NA	NA	1.14
BRCA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
COIL	1.125	0.959	NA	0.977	1.164	1.2	0.868	0.884	NA
VKGC	NA	NA	1.032	0.707	1.008	1.223	0.89	NA	1.097
LICH	NA	1.024	NA	NA	NA	NA	NA	0.758	NA
VATA	0.927	NA	0.97	NA	NA	1.174	NA	NA	1.179
GRP75	NA	0.905	NA	NA	NA	NA	NA	NA	NA
IF4A3	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMBP2	NA	NA	0.847	NA	NA	NA	NA	NA	NA
CDN1A	NA	0.799	NA	NA	0.935	1.153	NA	0.961	NA
RS19	NA	0.939	NA	1.08	1.062	1.187	0.919	0.859	1.072
RL3	NA	0.938	NA	NA	1.05	NA	NA	0.873	NA
COIA1	NA	NA	NA	NA	NA	NA	0.95	NA	NA
MPV17	NA	NA	0.296	NA	NA	0.247	NA	NA	0.312
OST48	0.892	1.026	0.662	0.626	NA	0.766	0.658	NA	NA
AN32A	0.915	0.969	0.944	0.923	1.15	0.956	0.915	0.848	1.073
FEN1	NA	0.951	NA	0.81	1.018	NA	0.927	0.874	NA
CUX1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAPG	NA	0.989	NA	NA	1.213	NA	NA	NA	NA
IL6RB	NA	NA	NA	NA	NA	NA	NA	NA	NA
TXLNA	NA	0.981	NA	1.112	1.617	NA	0.86	0.751	NA
TCPZ	NA	0.936	NA	1.291	1.055	NA	NA	0.823	NA
NNMT	NA	NA	1.579	NA	NA	1.712	NA	NA	NA
PBX2	1.015	0.809	1.002	0.936	1.154	NA	0.898	0.826	1.201
PBX3	NA	NA	NA	NA	NA	NA	NA	NA	NA
RL13A	0.916	0.777	NA	NA	NA	NA	0.771	0.746	NA
ARL1	NA	0.945	1.897	NA	0.394	NA	NA	0.952	1.116
MLH1	NA	1.008	NA	NA	NA	NA	NA	NA	1.084
STAT3	7.449	0.138	12.276	6.808	0.149	15.427	8.321	NA	16.444
UBP8	1.523	NA	1.145	1.039	NA	1.162	1.126	NA	1.258
PEX19	NA	NA	1.335	NA	NA	1.188	NA	NA	NA
MDHC	1.125	0.924	0.957	0.88	1.028	1.075	0.969	0.856	1.04
MDHM	NA	NA	0.506	NA	2.071	0.561	NA	NA	NA
RFC5	1.152	0.994	NA	0.968	NA	1.166	0.879	NA	NA
RFC3	NA	NA	0.929	NA	NA	0.706	1.195	NA	NA
ECHA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IF2G	NA	0.934	NA	NA	1.139	NA	NA	0.868	1.132
ID1	1.178	0.917	0.956	0.946	1.014	1.122	0.841	0.809	1.201
ETV3	NA	NA	0.922	NA	NA	1.066	NA	NA	NA
CETN2	NA	0.972	0.852	NA	0.999	NA	NA	0.859	1.144
ETV6	NA	NA	NA	1.223	NA	NA	1.007	NA	NA
EIF2D	NA	NA	NA	NA	NA	0.922	NA	NA	0.923
WNT5A	NA	NA	NA	NA	1.05	NA	NA	0.68	NA
BUD31	NA	NA	NA	0.877	NA	NA	NA	0.879	NA
UBA7	1.179	1.039	NA	0.951	1.184	NA	0.897	0.903	NA
NAA10	1.023	1.007	NA	1.165	1.154	NA	1.061	0.925	NA
IPP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CSK	1.129	0.959	0.982	0.946	1.12	1.131	0.875	0.863	1.094
GARS	NA	NA	NA	NA	NA	NA	NA	NA	NA
SYIC	NA	NA	0.935	0.96	NA	NA	0.871	NA	NA
S19A1	NA	NA	NA	0.983	NA	NA	NA	NA	NA
KPCI	1.222	0.984	1.043	1.021	1.003	1.007	0.796	0.883	1.153
ELK3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTY	NA	0.92	NA	0.87	1.042	NA	0.826	0.724	NA
ECI1	1.167	NA	1.222	0.96	NA	1.438	0.888	NA	1.336
LAP2A	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAT1	NA	0.94	0.969	NA	1.099	1.055	0.875	0.869	1.292
STAT6	NA	0.925	NA	NA	1.081	1.85	NA	0.882	0.969
MTREX	NA	NA	0.75	NA	NA	0.838	NA	NA	0.821
AK1C3	1.148	NA	NA	NA	NA	NA	NA	0.994	NA
PK3CA	1.292	NA	NA	1.201	NA	0.973	0.906	NA	1.101
PK3CB	NA	NA	NA	NA	NA	NA	NA	NA	NA
MTOR	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI4KA	1.304	1.088	1.643	0.99	NA	1.64	1.01	0.313	1.659
EPS15	1.168	1.001	NA	NA	NA	1.123	NA	NA	1.186
CASP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
RS27	0.898	0.99	0.979	0.896	1.078	1.137	NA	0.882	1.216
ABL2	NA	NA	NA	NA	NA	1.369	NA	NA	NA
HELZ	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNDD3	1.288	0.967	0.939	1.064	1.11	1.196	1.078	0.824	1.262
LPPRC	NA	NA	0.913	NA	NA	1.089	NA	NA	1.002
THIM	NA	0.905	NA	NA	1.18	NA	NA	NA	NA
RL35	NA	0.845	NA	NA	1.138	NA	NA	NA	NA
WASP	NA	NA	NA	NA	0.997	NA	NA	NA	NA
PCP	0.895	0.936	NA	0.911	1.102	NA	0.899	NA	NA
HD	NA	NA	NA	NA	NA	NA	NA	0.964	NA
ECE1	NA	NA	NA	0.952	NA	NA	NA	NA	NA
EAA3	NA	0.979	NA	NA	NA	NA	NA	NA	NA
SATT	NA	0.967	0.96	1.032	NA	1.169	0.832	NA	NA
LIS1	NA	0.91	NA	NA	1.084	NA	NA	0.906	NA
MUC18	NA	NA	NA	0.94	NA	NA	0.962	NA	1.02
CATK	0.964	0.908	NA	0.85	1.225	NA	0.69	0.715	NA
MATR3	1.261	NA	NA	0.874	NA	NA	NA	NA	NA
MSH2	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRK6	1.365	NA	1.09	1.138	NA	1.321	1.047	NA	1.276
GPDM	NA	NA	NA	0.955	NA	NA	NA	NA	NA
SSRA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTN9	NA	NA	NA	NA	NA	1.063	NA	NA	NA
RANG	NA	NA	NA	NA	NA	NA	NA	NA	NA
NAMPT	NA	NA	1.024	NA	NA	1.109	NA	NA	NA
PRS6B	NA	1.092	NA	0.954	1.178	NA	NA	NA	1.576
GATA4	0.717	NA	0.867	0.916	1.308	1.104	0.522	NA	1.141
EFTS	0.671	NA	1.25	0.888	1.096	1.254	0.831	0.993	1.266
PPIC	1.323	0.984	1.033	1.024	NA	1.342	1.011	NA	1.236
VDAC2	1.131	NA	NA	0.979	NA	1.148	0.828	NA	NA
CBX5	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBP5	NA	NA	NA	NA	NA	3.063	NA	NA	3.123
MK08	1.195	NA	1.042	0.938	1.105	1.146	0.868	0.879	1.136
MK09	NA	NA	NA	NA	NA	0.958	NA	NA	NA
MP2K4	1.067	0.92	0.923	NA	1.088	1.094	0.876	0.839	1.092
KI67	NA	NA	NA	NA	NA	1.622	NA	NA	NA
RAGP1	NA	0.892	NA	NA	1.038	NA	NA	0.77	NA
RECQ1	1.262	NA	1.11	1.109	NA	1.409	0.946	NA	1.779
NOP2	1.118	0.823	1.026	NA	NA	1.111	NA	NA	NA
CRK	NA	NA	NA	NA	NA	NA	NA	NA	NA
CRKL	1.157	NA	NA	NA	NA	NA	NA	NA	NA
IF2M	NA	NA	NA	NA	NA	NA	NA	NA	NA
BAG6	0.948	0.857	1.059	1.012	1.05	1.322	0.691	0.764	NA
GSTM5	NA	NA	NA	NA	NA	NA	NA	NA	NA
NSF	NA	NA	NA	NA	NA	1.027	NA	NA	NA
NOTC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MP2K3	NA	NA	NA	NA	NA	1.015	NA	NA	NA
BRCC3	0.919	1.578	NA	1.018	1.868	NA	0.968	2.384	NA
RL27A	NA	0.973	0.991	NA	1.179	1.107	NA	0.882	1.076
RL5	1.2	1.144	1.072	0.916	0.995	1.28	0.991	0.864	1.198
RL21	NA	0.962	NA	NA	1.084	NA	NA	0.881	NA
RL28	NA	NA	NA	NA	NA	NA	NA	NA	NA
RS9	1.338	0.962	0.956	0.951	1.127	1.181	0.95	0.857	0.696
RS5	NA	NA	NA	NA	NA	NA	NA	NA	NA
RS10	NA	0.974	1.088	0.937	1.123	1.192	0.858	0.888	NA
MAP1B	NA	NA	NA	0.768	NA	NA	NA	NA	NA
GNPI1	1.164	NA	0.894	1.353	NA	1.002	0.928	NA	0.86
NEDD4	1.045	1.002	NA	1.097	1.157	NA	0.963	0.815	NA
YAP1	NA	0.961	NA	NA	1.132	NA	NA	1.007	NA
UTRO	1.2	1.255	1.009	1.022	NA	1.059	0.962	0.981	1.217
IQGA1	NA	0.945	NA	0.973	1.011	NA	0.268	0.843	NA
GLYG	NA	NA	NA	NA	NA	1.39	NA	NA	1.351
STT3A	NA	NA	NA	NA	NA	NA	NA	NA	NA
PA24A	1.096	0.912	0.97	0.775	1.031	1.101	0.819	0.848	1.012
CAZA2	NA	0.842	NA	NA	0.996	NA	NA	0.93	NA
CAPZB	NA	0.93	NA	NA	1.027	NA	NA	0.847	NA
SYQ	1.109	0.942	0.954	0.928	1.07	1.078	0.848	0.86	1.072
RL29	NA	0.941	NA	NA	1.085	0.922	0.828	0.864	NA
TISD	NA	0.92	0.892	0.941	1.066	1.148	0.807	0.837	1.081
UCRI	NA	NA	NA	NA	NA	NA	NA	NA	0.988
ATPO	NA	0.953	NA	NA	1.118	1.014	NA	0.897	NA
LIMS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GLIP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPCE	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAOX	NA	NA	NA	NA	NA	NA	NA	NA	NA
TFPI2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI42A	NA	0.93	NA	NA	1.184	1.095	NA	0.805	1.103
COPD	NA	NA	NA	NA	NA	NA	1.025	NA	NA
LSS	1.112	NA	NA	NA	1.438	NA	0.954	1.272	NA
GSH1	NA	0.961	NA	NA	1.133	NA	NA	0.847	NA
GSH0	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD151	1.35	0.903	1.174	NA	1.038	1.282	NA	0.847	1.107
PSMD8	1.122	NA	NA	0.973	NA	NA	NA	NA	1.128
PRC2A	NA	1.055	NA	0.937	1.042	NA	0.823	0.768	NA
GSHB	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCPE	NA	NA	0.915	NA	NA	NA	NA	NA	NA
PTSS1	1.188	0.976	1.019	0.851	1.093	1.164	0.963	NA	1.125
NEST	NA	NA	NA	NA	NA	NA	NA	NA	NA
HSP13	1.418	NA	NA	1.015	1.207	NA	0.969	0.934	NA
KC1A	NA	0.909	NA	NA	1.051	1.066	NA	0.835	1.17
KC1D	NA	1.069	1.347	NA	1.168	1.448	NA	0.908	NA
IDHP	NA	0.905	0.969	NA	1.1	1.192	0.848	0.843	1.156
PIPNB	1.074	NA	NA	1.167	NA	NA	0.982	NA	NA
AGRE5	NA	NA	NA	NA	NA	NA	NA	NA	NA
MRP	NA	NA	NA	NA	NA	1.257	NA	NA	NA
PAXI	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAMLG	NA	NA	NA	NA	NA	NA	NA	NA	NA
NR2C2	NA	NA	1.166	0.714	NA	0.936	NA	NA	1.277
AL9A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RL34	NA	NA	1.056	NA	NA	0.764	NA	NA	NA
LMAN1	NA	0.929	NA	NA	1.126	NA	NA	1.041	NA
NASP	NA	1.253	NA	NA	NA	NA	NA	NA	NA
FAS	1.078	0.912	1.128	0.989	NA	1.226	0.921	NA	1.266
CDK8	NA	NA	NA	NA	NA	NA	NA	NA	NA
FNTA	1.195	NA	1.202	1.061	NA	1.073	NA	NA	1.203
FNTB	NA	NA	NA	NA	NA	NA	NA	NA	1.014
DHYS	0.841	0.895	1.065	0.864	1.439	1.272	0.555	0.712	1.28
TCPG	NA	NA	NA	NA	NA	NA	NA	NA	1.313
RM19	1.385	NA	1.341	1.11	NA	1.712	1.257	NA	1.536
ARRB1	NA	1.11	NA	NA	1.341	NA	1.059	0.993	NA
EFTU	NA	NA	NA	NA	NA	1.151	NA	NA	1.065
AL7A1	NA	NA	NA	NA	NA	1.315	NA	NA	2.445
INPP	1.337	NA	NA	NA	NA	NA	NA	NA	NA
CY561	NA	NA	NA	NA	NA	NA	NA	NA	NA
DHE4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CENPF	0.924	NA	1.021	NA	NA	1.13	0.913	NA	1.207
SRP09	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBE2A	1.045	NA	0.944	0.854	NA	1.05	NA	NA	0.942
PCY1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
SYAC	1.097	1.184	1.112	1.12	1.284	1.26	NA	NA	NA
SYCC	NA	NA	NA	NA	NA	NA	NA	NA	NA
SYHM	NA	1.064	NA	NA	0.979	NA	NA	NA	NA
SYSC	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPM1F	NA	NA	NA	NA	NA	1.162	NA	NA	NA
MA2A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRI1	NA	NA	NA	NA	NA	NA	NA	0.714	NA
CASP4	NA	NA	NA	NA	NA	NA	NA	NA	NA
KC1E	NA	NA	0.677	NA	NA	NA	NA	NA	NA
PSB3	1.267	NA	NA	NA	NA	NA	NA	NA	NA
PSB2	NA	0.922	NA	NA	1.003	NA	NA	0.804	NA
MCM2	NA	0.977	NA	NA	1.087	NA	NA	0.853	1.103
COMP	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADV	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLPM1	NA	NA	NA	NA	NA	1.223	NA	NA	NA
VPS41	NA	NA	1.429	0.757	NA	1.374	0.911	NA	NA
TMEDA	NA	NA	1.302	NA	NA	1.192	NA	NA	1.448
RBM25	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMB	NA	0.897	NA	NA	1.063	NA	NA	0.784	NA
CLK3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSN1	1.054	0.934	0.877	0.947	1.115	1.102	0.863	0.867	1.033
EI2BB	NA	NA	NA	NA	NA	NA	NA	NA	NA
HINT1	NA	0.933	NA	NA	NA	1.278	NA	NA	NA
NU153	1.39	0.954	NA	1.073	NA	NA	1.031	NA	NA
RBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSN2	NA	0.903	NA	NA	1.336	NA	NA	1.002	NA
TSC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDUV1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSK3A	NA	1.193	NA	NA	NA	NA	NA	0.906	1.257
GSK3B	NA	NA	NA	NA	NA	NA	NA	NA	NA
5NTC	NA	NA	0.878	1.511	NA	2.505	0.688	NA	0.616
SPS1	NA	NA	NA	NA	NA	NA	0.859	NA	NA
GUAA	NA	0.861	NA	NA	0.961	NA	NA	0.745	NA
DNLI3	NA	0.967	NA	NA	NA	NA	NA	NA	NA
MRE11	NA	0.923	NA	NA	1.14	NA	NA	NA	NA
GNAQ	1.568	0.944	NA	NA	1.11	NA	NA	0.844	NA
IDH3A	NA	0.98	1.611	NA	1.09	1.143	NA	0.916	NA
MMP14	NA	NA	1.016	0.958	NA	NA	0.894	NA	NA
GDIB	NA	NA	NA	NA	NA	NA	NA	NA	4.081
EMD	NA	0.92	0.959	NA	NA	NA	NA	NA	1.277
CPT1A	NA	0.946	NA	NA	1.235	NA	NA	0.772	NA
S26A2	NA	1.362	1.031	NA	NA	0.935	0.875	NA	NA
SPB8	NA	NA	NA	NA	NA	NA	NA	NA	NA
SERPH	NA	0.855	2.009	NA	1.058	1.069	NA	0.805	NA
PDLI4	NA	0.9	NA	NA	1.036	NA	NA	0.882	NA
F10A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERF	NA	NA	1.02	NA	NA	0.901	NA	NA	1.002
VASP	NA	NA	NA	NA	NA	NA	NA	NA	NA
DYN2	NA	NA	1.266	NA	NA	NA	NA	NA	1.548
MAP2	NA	0.946	NA	NA	1.229	1.624	NA	NA	NA
AP4A	1.131	NA	NA	NA	NA	0.937	NA	NA	NA
CDK7	1.13	NA	0.921	1.022	0.98	1.074	0.834	0.853	1.092
BPL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
KNTC1	1.179	0.864	1.069	0.993	1.166	1.181	0.884	0.819	NA
CDK9	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPT1	NA	NA	0.994	NA	NA	NA	NA	NA	NA
RL14	NA	0.884	NA	NA	1.043	0.938	0.814	0.824	NA
TCPQ	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCPD	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANX11	NA	NA	0.804	NA	NA	0.974	NA	NA	1.265
PAPOA	NA	NA	NA	NA	0.908	NA	NA	0.945	NA
FXR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FXR2	NA	0.848	NA	NA	1.153	NA	NA	0.879	NA
RAB5C	NA	NA	NA	NA	NA	NA	0.863	NA	NA
RAB7A	1.318	0.944	1.035	0.958	1.022	1.227	0.963	NA	1.127
RAB9A	NA	NA	0.976	NA	NA	1.143	NA	NA	NA
RAB13	NA	NA	NA	NA	NA	NA	NA	NA	NA
RB27A	1.189	NA	1.077	1	1.156	1.255	0.829	NA	1.267
PLCD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DAP1	1.082	NA	0.853	0.981	1.314	0.905	0.83	NA	1.043
RT29	NA	0.94	NA	NA	NA	NA	NA	NA	NA
DUS3	NA	0.474	NA	NA	1.068	NA	0.688	NA	NA
SMCA2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMCA4	NA	NA	NA	NA	NA	NA	NA	NA	NA
IDH3G	NA	1.014	1.205	NA	1.136	1.164	NA	0.873	NA
GALK1	1.327	0.96	1.033	1.052	1.119	1.254	0.847	0.907	1.08
SSRD	1.018	0.903	1.021	0.955	NA	1.091	0.857	NA	1.049
BAP31	1.034	0.962	1.031	0.875	NA	1.161	0.844	NA	1.152
TPMT	NA	NA	NA	NA	NA	NA	NA	NA	NA
RENBP	NA	NA	0.846	NA	1.056	1.262	NA	0.851	0.834
MECP2	1.104	0.965	NA	0.942	1.126	1.145	0.906	0.832	1.236
HCFC1	NA	0.852	NA	NA	1.211	1.012	NA	NA	NA
CAV2	NA	0.933	NA	NA	NA	NA	NA	NA	NA
DHB4	NA	NA	NA	NA	NA	NA	NA	NA	2.355
PSMD7	NA	1.125	NA	NA	NA	NA	0.892	NA	NA
CCL11	NA	0.896	1.047	NA	1.029	1.303	NA	0.796	1.049
SPHM	NA	NA	NA	NA	NA	NA	NA	NA	NA
APLP1	NA	NA	NA	NA	NA	1.209	NA	NA	NA
UBP11	NA	1	NA	NA	1.156	NA	NA	0.916	NA
CLCN7	NA	NA	NA	NA	NA	NA	NA	NA	NA
DYLT3	NA	0.954	0.939	0.929	1.09	1.111	0.853	0.87	NA
VAMP7	NA	0.965	NA	0.796	NA	1.053	0.778	NA	NA
KS6A3	1.276	0.916	1.323	1.044	1.026	1.141	0.968	0.903	1.541
AK1D1	1.093	NA	1.149	NA	NA	0.906	0.917	NA	1.036
HDGF	NA	NA	NA	NA	NA	NA	NA	NA	NA
LUM	NA	0.647	NA	0.915	1.18	NA	0.747	0.831	1.062
NEK4	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDUA8	1.337	NA	NA	NA	NA	NA	NA	NA	NA
ROA3	NA	0.966	NA	0.968	1.018	1.093	0.692	NA	NA
6PGD	NA	NA	NA	NA	NA	NA	NA	NA	NA
HNRPM	NA	NA	NA	NA	NA	NA	NA	NA	NA
IMA1	NA	NA	0.962	1.089	NA	1.107	NA	NA	1.172
IMA5	NA	NA	NA	NA	1.152	NA	NA	NA	NA
NCBP2	NA	0.899	NA	NA	NA	NA	NA	NA	NA
GDS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DGKE	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPAB3	NA	NA	NA	NA	NA	1.255	NA	NA	NA
GDIR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGFG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HNRPF	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAT2	NA	0.853	NA	NA	0.969	1.258	NA	0.66	NA
TF2AA	NA	0.959	NA	0.975	1.14	NA	0.826	0.914	1.118
MSH6	1.049	0.979	0.944	0.919	1.124	1.077	0.843	0.847	0.973
KIF11	NA	NA	NA	NA	NA	NA	NA	NA	NA
VAV2	NA	NA	NA	1.084	NA	NA	NA	NA	NA
ZN143	NA	NA	0.968	NA	NA	1.088	NA	NA	NA
RBM5	1.056	0.94	1.041	0.942	1.122	1.136	0.836	0.814	1.14
SPSY	NA	NA	NA	NA	NA	NA	NA	NA	NA
