	LacZ_enriched_722	LacZ_723	lacZ_enriched_815	AC2_enriched_722	AC2_723	AC2_enriched_815	AC6_enriched_722	AC6_723	AC6_enriched_815
GOLI4	NA	NA	NA	0.92	1.06	1.072	0.792	0.782	NA
MANBA	NA	NA	NA	NA	NA	NA	NA	0.882	NA
AGRIN	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLOD2	NA	NA	NA	NA	NA	0.587	NA	NA	0.874
MEIS1	NA	1.062	NA	NA	NA	NA	NA	0.906	1.16
EXOC5	NA	NA	1.051	NA	NA	1.211	NA	NA	1.261
NDUA4	1.208	0.916	NA	0.982	1.117	NA	0.647	NA	NA
PSDE	NA	0.896	NA	NA	1.093	1.138	NA	0.849	1.103
BIN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
IMA4	NA	0.967	NA	NA	1.107	NA	0.996	0.88	NA
BCL9	NA	NA	NA	NA	NA	NA	NA	NA	NA
VMA5A	1.054	0.953	0.972	0.935	1.108	1.118	0.831	0.881	1.056
PESC	NA	NA	13.735	NA	NA	NA	NA	NA	NA
RCAS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SDCB1	NA	NA	NA	0.998	NA	NA	NA	NA	NA
PITM1	NA	NA	NA	NA	NA	1.007	NA	NA	NA
MPP10	1.04	NA	NA	0.936	1.217	NA	0.9	NA	1.158
NOP56	1.337	1.157	1.007	1.061	1.132	1.23	1.044	1.017	1.151
DDX3X	NA	NA	NA	NA	1.103	NA	NA	NA	NA
GBRP	1.365	1.002	1.116	1.127	NA	1.337	NA	NA	1.282
PODXL	NA	NA	3.849	NA	NA	6.569	NA	NA	6.844
CCN1	0.936	0.833	0.858	1.08	1.158	1.065	0.739	NA	0.858
PIR	NA	0.932	1.032	NA	1.106	1.182	0.771	0.883	1.115
IMA3	1.234	0.951	1.139	0.976	1.04	1.263	0.967	0.946	1.23
PPP6	NA	0.941	NA	NA	1.089	1.208	NA	0.861	NA
MA2B1	NA	NA	NA	NA	NA	1.084	NA	NA	0.724
PDXK	1.202	0.896	1.037	0.942	0.986	1.278	0.853	0.807	1.318
ACOD	1.171	0.982	1.006	1.052	1.129	1.196	0.875	0.88	1.319
PLPP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARI1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
ISLR	NA	0.893	NA	NA	1.077	1.313	NA	0.932	NA
SOCS7	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCKP5	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDKA1	0.67	0.87	0.938	NA	NA	1.152	NA	0.842	NA
C2C2L	NA	NA	NA	NA	NA	NA	NA	NA	NA
NEMP1	1.086	0.981	1.059	0.91	1.171	1.23	0.922	0.896	1.169
TXND9	NA	0.939	NA	NA	1.073	1.106	NA	0.41	0.98
SOCS6	NA	0.959	0.765	NA	NA	NA	NA	NA	NA
TRAD1	NA	0.957	0.975	NA	NA	1.06	0.926	NA	NA
COX7R	NA	NA	NA	NA	NA	NA	NA	NA	NA
HSPB6	1.14	0.991	NA	1.02	0.963	NA	0.911	0.974	NA
ACPM	NA	0.912	NA	NA	1.108	NA	NA	0.841	NA
UBFD1	NA	NA	2.086	NA	NA	NA	NA	NA	NA
CTRO	NA	0.948	NA	NA	1.101	NA	NA	0.883	NA
COPE	NA	0.944	NA	NA	1.131	1.126	NA	0.833	1.138
IF1AY	1.128	0.914	NA	0.969	1.18	NA	0.874	0.912	NA
BORG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP3D1	NA	NA	0.916	0.898	NA	1.111	0.832	NA	1.033
CCS	NA	NA	NA	1.008	NA	1.191	NA	NA	1.141
ABLM1	NA	0.811	NA	0.684	1.22	NA	NA	NA	NA
CHD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TOR1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
TOR1B	0.824	NA	0.731	0.73	NA	0.754	NA	NA	NA
STX16	NA	0.896	NA	NA	NA	NA	NA	NA	NA
ADA10	1.127	0.935	0.945	1.009	1.062	1.101	0.94	0.859	NA
EI24	0.705	NA	1.174	NA	NA	0.753	NA	NA	NA
KMT2D	NA	0.956	NA	0.999	NA	NA	0.842	0.869	NA
ITBP1	NA	NA	NA	NA	NA	NA	NA	0.903	NA
RGPD8	1.089	NA	NA	NA	NA	NA	NA	0.858	1.183
CDIPT	NA	NA	1.028	NA	NA	1.172	NA	NA	NA
PDCD5	NA	0.891	NA	NA	1.064	NA	NA	0.854	NA
ANM5	NA	NA	NA	0.94	NA	NA	0.849	NA	NA
NHRF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TR10B	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPP1	NA	NA	NA	NA	NA	NA	NA	0.733	NA
TCRG1	NA	NA	NA	NA	NA	1.087	NA	NA	NA
NDC80	NA	0.907	NA	NA	1.03	NA	NA	0.882	NA
NRP1	NA	NA	NA	NA	NA	NA	NA	NA	1.203
TNPO2	1.237	0.873	1.08	1.148	1.164	1.313	1.477	0.888	1.051
GDF8	NA	0.932	1.044	NA	1.097	NA	NA	0.839	NA
RPC1	1.159	NA	NA	0.983	1.078	NA	0.898	0.9	NA
CAN9	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSA7	NA	NA	NA	NA	NA	1.124	NA	NA	NA
RGRF2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCAM3	NA	NA	1.9	NA	NA	2.266	NA	NA	2.541
BCKD	NA	NA	NA	NA	NA	NA	NA	NA	1.084
MGST3	0.951	0.989	0.977	0.891	1.005	NA	0.836	0.791	1.122
TX1B3	NA	NA	NA	NA	NA	NA	NA	NA	NA
GIPC1	1.147	0.976	0.931	0.882	1.056	1.027	0.876	0.855	0.985
PCD17	NA	NA	NA	NA	NA	NA	NA	NA	NA
IKKB	0.928	0.946	NA	NA	NA	NA	NA	NA	NA
HAT1	NA	0.923	NA	NA	1.098	1.124	NA	0.842	NA
UB2L6	NA	NA	NA	1.029	NA	NA	0.96	NA	NA
CSKP	NA	NA	NA	NA	NA	NA	NA	NA	NA
QCR8	NA	0.913	NA	NA	1.084	4.523	NA	0.892	0.84
HGS	NA	0.88	NA	NA	1.163	NA	NA	0.646	NA
AURKA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VP26C	NA	NA	NA	NA	NA	NA	NA	NA	NA
MYPT1	1.014	NA	NA	NA	1.089	NA	0.712	0.844	NA
GAK	NA	NA	0.939	NA	NA	NA	NA	NA	NA
ZN263	NA	NA	NA	NA	NA	NA	NA	NA	NA
HNRDL	0.101	NA	NA	NA	NA	0.758	NA	NA	NA
XPO1	1.211	0.947	0.956	0.989	1.135	1.166	0.878	0.885	1.133
BTAF1	1.156	NA	NA	1.015	NA	NA	0.889	0.891	NA
ARHGA	NA	NA	NA	NA	NA	0.548	NA	NA	NA
ZN609	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAST4	NA	NA	1.017	NA	NA	NA	NA	NA	NA
SC16A	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLXB2	NA	NA	0.972	NA	NA	1.22	NA	NA	2.678
AREL1	NA	NA	NA	NA	NA	1.191	NA	NA	NA
KHNYN	NA	NA	NA	NA	NA	NA	NA	NA	NA
SR140	NA	NA	NA	NA	NA	NA	NA	NA	NA
SET1A	1.115	NA	NA	0.973	1.236	1.123	0.949	0.844	NA
SYNJ2	1.131	NA	0.883	NA	NA	NA	NA	NA	NA
SYNEM	NA	NA	1.34	NA	NA	NA	NA	NA	1.266
KIF3B	NA	0.921	NA	NA	NA	NA	NA	0.899	NA
PUR4	NA	NA	NA	NA	NA	NA	NA	NA	NA
NACAD	1.281	NA	0.949	1.011	0.793	1.108	1.115	0.932	NA
CE290	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANR28	NA	NA	0.933	NA	NA	1.288	NA	NA	NA
ARHGB	NA	1.061	NA	1.018	1.117	NA	NA	NA	NA
IKKA	NA	1.11	NA	NA	NA	NA	NA	NA	NA
LSM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NPC1	NA	0.909	NA	NA	1.061	NA	NA	0.811	NA
TBX3	NA	1.005	NA	NA	1.091	NA	NA	0.874	NA
DEGS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCAM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARC1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARPC2	NA	NA	NA	0.912	NA	NA	NA	NA	NA
BET1	NA	0.949	NA	NA	1.178	1.295	NA	0.864	NA
RPAC1	1.135	0.935	0.958	0.976	1.135	1.11	0.866	0.86	1.107
TIF1A	NA	NA	0.955	1.069	NA	1.231	NA	NA	1.053
PGRC2	1.093	0.896	NA	0.952	1.092	1.033	0.827	0.851	NA
RGL2	NA	0.928	NA	NA	1.023	NA	NA	0.813	NA
PFD6	NA	0.929	NA	NA	NA	NA	NA	NA	NA
WDR46	0.97	NA	NA	0.965	NA	NA	0.869	NA	NA
GNPAT	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZN185	NA	NA	NA	NA	NA	NA	NA	NA	NA
CASC3	NA	0.909	NA	NA	1.094	NA	NA	0.845	NA
OBRG	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACOX3	NA	0.941	NA	NA	NA	NA	NA	NA	NA
RER1	0.954	NA	1.022	NA	NA	1.222	NA	NA	1.107
SURF4	NA	NA	NA	0.966	NA	NA	NA	NA	1.107
MK13	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPTC1	NA	0.894	NA	NA	1.257	1.255	0.828	NA	0.869
SPTC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
OGT1	NA	1.02	0.873	NA	NA	1.269	NA	NA	0.805
LX15B	NA	1.015	NA	0.827	NA	NA	0.888	NA	NA
PMM2	1.699	1.142	1.179	0.865	NA	2.422	1.099	NA	2.366
TM9S1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRI18	NA	NA	NA	NA	NA	NA	NA	NA	1.104
HMGB3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPM1G	1.077	NA	1.079	0.982	NA	1.346	0.914	NA	1.301
SHIP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF3D	1.21	0.957	NA	0.882	1.119	NA	0.818	0.842	NA
EIF3H	NA	0.953	NA	NA	1.189	NA	NA	0.859	1.071
HDAC3	NA	1.021	NA	NA	1.016	0.882	NA	0.875	NA
BCAT2	NA	NA	0.211	1.035	NA	0.302	0.821	NA	0.243
IPO8	1.356	1.097	1.212	NA	NA	1.141	1.052	NA	1.316
STX7	NA	NA	1.245	1.26	NA	1.656	NA	NA	1.457
MOT7	NA	NA	0.901	NA	NA	1.174	NA	NA	1.117
TNC18	NA	NA	NA	NA	NA	1.133	NA	NA	NA
MOT4	NA	NA	NA	NA	NA	NA	NA	NA	NA
MRP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
MRP4	1.205	1.03	1.022	1.031	1.165	1.167	0.926	0.936	1.187
RPA34	NA	0.942	NA	NA	1.034	NA	NA	0.871	NA
P4HA2	NA	NA	NA	NA	NA	NA	NA	NA	NA
YKT6	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARPC5	1.177	1.086	1.098	1.042	1.256	1.195	0.956	1.152	1.281
DDX3Y	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDPK1	0.975	NA	NA	NA	NA	1.191	NA	0.885	1.191
TPSN	NA	NA	NA	NA	NA	NA	NA	NA	NA
R113A	NA	0.923	NA	NA	1.122	NA	NA	0.839	NA
DHX15	NA	1.126	NA	NA	NA	NA	0.957	NA	NA
MCES	NA	0.975	NA	NA	1.108	1.042	NA	0.834	NA
ZZEF1	1.25	NA	1.168	1.098	NA	1.417	1.088	NA	1.339
ASAP2	NA	NA	NA	NA	NA	1.135	NA	NA	NA
TTI1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLXB1	NA	1.074	NA	NA	1.229	NA	NA	1.089	NA
