KMT5A	-11.242187792139
JIP4	24.8922912095815
RRP36	-3.40993364595123
SH2B3	-4.12581880860669
HABP4	-3.33415194931538
ACTZ	-7.02678583844137
PCYOX	-6.57521536347175
XRN2	4.64342120451573
PP1R8	-3.7336707361159
1433T	-12.5530224464964
DMXL2	8.15799703661922
CRLF3	6.89462876911689
TM119	6.66712713141083
ACOT9	-2.57946089057884
FLNC	5.63560313325184
LUM	3.02208054502466
HSP13	-3.52629983697798
ITCH	-2.61565622754376
NUMA1	2.60149823384341
NIPS1	4.9094233003518
ZCHC8	-4.56281253883539
KRR1	2.74129001893397
CCYL1	-2.4650411342694
WRIP1	-3.21397737205454
SMCR8	4.31599826426735
PDE12	4.20067373523721
UB2Q1	-5.56795359977092
DPYL3	-2.54522869739939
MGST1	-5.48243517813932
HEM2	-5.39569889233755
RSMB	-5.19134620131081
CSN4	-4.00561342945287
HSBP1	-3.07235212593197
CNBP	3.92687519727704
BTF3	3.03688056533502
GOSR1	-4.89569369813576
UBXN6	-2.98900458074309
TIDC1	2.96605259316055
KAT6A	-2.94037619409961
G6PD	-2.926652979899
PP14B	-2.44812584287295
NAA30	-2.4548039476216
AEDO	-3.62976245393258
GGA3	2.43599983879779
UBL7	2.36582070982348
ZCRB1	-2.35243017921187
SLK	-2.50501699698953
TS101	2.3412749691418
HEM3	-3.44428348863456
RGPS2	-4.01852506329446
NDUV3	-2.47970035863416
DFFA	3.35016663288989
UGGG2	-3.83731429044707
EF1D	2.4244417830121
NDUA4	-2.69873360858157
PRS6B	3.59361842515907
GBB4	2.23038011373528
SH3R1	2.39022289774072
NRBF2	-2.34398914288049
DOP2	-2.21692813083913
DDX46	2.26093230152615
HEXA	2.95254609764783
PYGL	2.51347251912742
PKCB1	-2.50779682224222
ELF4	-2.8930697865893
EXOS5	-2.84847229138564
PRC2A	-2.46565956471025
EMD	2.82138934057708
TRI37	189.111035173205
NUP35	95.565024665694
REEP5	-52.3515010099553
SYYM	49.1994229591745
PPHLN	48.1520212522039
MFS4B	42.864196166555
SRGP1	28.3158532441996
SF3B5	-2.42766385525994
PODXL	25.0667881764717
GGH	23.324506434907
OFD1	22.2704259812604
PCBP2	-21.2953289665647
PCD18	18.0105471231347
INT3	17.6185337312827
TOM5	17.2178089307228
DCTD	-16.5040541772618
HBG1	14.7524802664088
VP35L	-14.7095039834502
PSD12	2.74117228212342
PLXB2	13.8377823520873
TTC12	-13.7860946604209
COA7	13.3935005079883
MK03	-2.13083193781199
ATG7	-2.22786275048407
EIF3L	10.7365208521021
ROA0	9.95220368810777
IST1	-9.61332988937344
LXN	9.29913841531127
TAOK1	9.02037333666092
MEAK7	2.36932788681245
S10AD	-2.10682082766967
ARMD3	-7.72324458006601
MA7D3	-7.51388039078799
2ABD	-7.47903475595669
H2AW	-7.38437078133168
NAV2	7.18226609931018
PDC6I	6.99903613615562
CT453	-2.1358836003162
KDM4A	6.64680484406929
KGP2	2.79551809708991
NSE3	-6.48041693774987
FBX4	6.42030821766588
FAF2	6.39823931560606
PSME4	-2.11709711326684
RUFY1	-2.58882106095527
TRM2	6.21994581738594
KAP3	5.95279595034602
CHMP6	5.87236060994379
PRAF2	-2.55892640176844
UROK	-2.55016258906866
GEMI6	-2.54543187411699
SRPRA	5.60143579913048
GA2L3	-5.59737047506683
TIM22	5.55323267094719
DHC24	-5.37958525737124
HBB	5.22684522469406
SPAG5	-5.08339736130524
MGRN1	-2.07897926349826
GUC2C	-2.63141009609017
RPRD2	-4.77936919740221
RNBP6	4.75933295737421
TPX2	4.72158351964031
HACE1	4.69080320887267
SIR2	-2.21923786983124
SCAM3	4.56013207825531
UBP7	-2.21504392235189
CATZ	-4.48231016046543
KIF7	-2.43532173377187
NAT10	-4.30808198630896
PKN2	4.30750122572844
CNOT3	-4.28194776018549
ELOC	-4.22503322329437
CDC37	-2.02403226005377
SH3B4	4.12136745967128
SNAI1	-4.02060549895078
MED1	3.97327351163827
RASA3	2.00755609229833
LOXL2	2.00254319054922
NU155	3.7894627879032
HMCS1	3.74997106842773
PAXX	2.32241031786593
RBM23	3.62801134651821
CX7A2	-3.60071559923369
PKHG2	-3.58503506355961
S12A5	3.55425475279197
OGT1	-2.28465691048147
MK67I	-2.10323852079906
ENDD1	-3.50111515967425
PCDGI	3.46714066571373
LSM4	-3.45436393294226
FMR1	-1.96392911934588
PSA	-2.26382246330429
MTMR2	3.38409190269915
APC	-1.9538136312321
T126A	3.27955499820527
C2CD2	3.27839347704422
TPT1L	-2.06106152534269
TASO2	-3.2452901239545
CDC20	-3.22902882769989
ROA3	-2.08853664098145
RBMS1	1.93897354854856
PACS2	-2.27969089520794
CSTF1	-3.16688744558409
SF3B2	-2.20143969237009
P66B	2.04067144842311
ENOPH	2.03750803264692
RFC3	3.10735948608062
LS14B	-3.09255009127732
BORG4	-3.05160647035055
PDCD6	-3.04318544193299
CLPP	-3.01879349755109
ANX11	2.99207851084709
FKB15	2.14810895628917
LGAT1	-2.96449238327232
PKN1	1.99739297420747
PNO1	2.20020915979442
RBM14	2.92238724118451
VAT1	-1.90675682444412
TMUB1	2.87476487358174
PSF1	-2.86198814081026
RHG29	2.86140738022974
LNP	-2.1133938082499
TPPC4	-2.83120783004262
EIF3A	1.90804628359626
NTRI	-2.81843109727115
ZN521	1.91034832004433
NED4L	-2.09762070318821
F207A	2.78765078650351
IGBP1	-2.75745123631638
FSP1	2.74815906702804
IPKG	-2.73131701019291
ZNT1	2.07462247799187
COX17	-1.88626862328317
DDX41	2.6610449799498
GLRX3	-1.89381706264009
