"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"NIPS1" 0.439783333333333 1.09775625 4.9094233003518 0.029587814503913 1 -3.45907007451112
"ZCHC8" -0.387916666666667 1.33208958333333 -4.56281253883539 0.0345686215463734 1 -3.50180133897416
"KRR1" 1.13356666666667 1.54937453703704 2.74129001893397 0.0480351534683393 1 -3.5196545728837
"CCYL1" -0.0886222222222219 1.09172852733686 -2.4650411342694 0.0418244814429712 1 -3.52076553294579
"WRIP1" -0.70755 1.19638277777778 -3.21397737205454 0.042880793037607 1 -3.53059622823514
"SMCR8" 0.32205 0.863080555555555 4.31599826426735 0.0388608236897154 1 -3.53694638022991
"PDE12" 1.28195 1.43217291666667 4.20067373523721 0.0411244975805281 1 -3.554913642649
"UB2Q1" -0.506333333333333 1.33088293650794 -5.56795359977092 0.0225662544535273 1 -3.55913988015282
"DPYL3" -0.270855555555555 1.11337341269841 -2.54522869739939 0.0489836057688142 1 -3.56262364114667
"MGST1" -1.52133333333333 1.26688293650794 -5.48243517813932 0.023335587438085 1 -3.56485263234922
"HEM2" -0.472666666666667 0.84146626984127 -5.39569889233755 0.0241542619132758 1 -3.57087790239094
"RSMB" -0.4553 1.13287013888889 -5.19134620131081 0.0262505177957534 1 -3.58606352390042
"CSN4" -0.306466666666667 0.941322222222222 -4.00561342945287 0.0453926148713437 1 -3.58780828189493
"HSBP1" -0.21295 0.945140238095238 -3.07235212593197 0.0482384259284081 1 -3.587980813754
"CNBP" 0.334283333333333 1.06775625 3.92687519727704 0.0472910124095016 1 -3.60205098902507
"BTF3" 9.34478333333333 5.35204944444444 3.03688056533502 0.0497071744346309 1 -3.60293049055503
"GOSR1" -0.424533333333333 1.20756180555556 -4.89569369813576 0.0297652784655363 1 -3.61079626714113
"UBXN6" -0.351316666666666 1.15302944444444 -2.98900458074309 0.051777598146178 1 -3.62348450027794
"TIDC1" 0.39995 1.13078277777778 2.96605259316055 0.0528075980051305 1 -3.63349338602663
"KAT6A" -0.294333333333333 0.975439682539682 -2.94037619409961 0.0539897395239056 1 -3.64481078241975
"G6PD" -0.223983333333333 0.929296111111111 -2.926652979899 0.0546348240849978 1 -3.65091207277095
"PP14B" -0.321005555555555 0.996523979591837 -2.44812584287295 0.0553767286927358 1 -3.65315222914507
"NAA30" -0.136783333333333 1.08622715419501 -2.4548039476216 0.0549094379092156 1 -3.65510700139219
"AEDO" -0.38105 0.713922916666667 -3.62976245393258 0.0555385172906591 1 -3.66140312268197
"GGA3" 0.502783333333333 1.36789246031746 2.43599983879779 0.056236192433017 1 -3.66456001627673
"UBL7" 0.134044444444444 1.03129181547619 2.36582070982348 0.0539210422174554 1 -3.68304790378618
"ZCRB1" -0.138688888888888 1.0654904265873 -2.35243017921187 0.0549401458070064 1 -3.68805251951037
"SLK" -0.414433333333333 1.1530412037037 -2.50501699698953 0.0622460237777788 1 -3.69618847032688
"TS101" 0.305811111111111 0.942740426587302 2.3412749691418 0.0558043702058009 1 -3.69962808438542
"HEM3" -0.400416666666667 0.901089583333333 -3.44428348863456 0.061726103894062 1 -3.70349015702215
"RGPS2" -0.6339 0.922653472222222 -4.01852506329446 0.0450914769006108 1 -3.70982262163498
"NDUV3" -0.1836 1.13561130952381 -2.47970035863416 0.0640321218243961 1 -3.71577627736056
"DFFA" 0.417049999999999 0.903602380952381 3.35016663288989 0.0652330351055272 1 -3.72650493701612
"UGGG2" -0.333666666666667 0.980711805555555 -3.83731429044707 0.0495872218788292 1 -3.73660478899506
"EF1D" 1.15128333333333 1.70717083333333 2.4244417830121 0.0681338591277134 1 -3.75266752916239
"NDUA4" -0.259 0.978306349206349 -2.69873360858157 0.0668581220335087 1 -3.75773243571297
"PRS6B" 0.3621 1.17790793650794 3.59361842515907 0.0566748236471401 1 -3.77708510954729
"GBB4" 0.127711111111111 0.992839638447972 2.23038011373528 0.0594495725947623 1 -3.79552886067466
