"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"RASA3" 0.190841137566138 1.14072852733686 4.07386412504535 0.00433847843105023 0.999214098786458 -2.23010203201411
"CCN1" 0.181507804232804 0.925069593253968 3.31663666432805 0.0149946061572221 0.999214098786458 -2.92078115018415
"TBC9B" 0.230106944444444 1.13420787037037 4.47866353542642 0.00936774676101918 0.999214098786458 -3.03089910237985
"SH2B3" -0.682384126984126 1.33652751322751 -4.35157000304866 0.0104006420877207 0.999214098786458 -3.06419367851425
"CT453" -0.368009722222222 0.902035317460317 -3.47722154590296 0.0161693098834098 0.999214098786458 -3.07839668700673
"RM10" 2.84085833333333 1.60913833333333 17.616895415521 0.000227625510463094 0.411013969050565 -3.11348850118255
"NIP7" 0.142507804232804 1.02272852733686 2.85330455752399 0.023540594731364 0.999214098786458 -3.19803342771778
"PCYOX" -0.990392195767196 1.17016468253968 -8.88150336201927 0.00207935031950124 0.999214098786458 -3.20582395548557
"CHMP3" -0.294542195767195 1.01873625992063 -2.92615119293614 0.0250178360693059 0.999214098786458 -3.29943296794065
"DIP2A" -0.226392195767195 1.19626048752834 -2.94734379227278 0.0298792863984186 0.999214098786458 -3.38759186938585
"FA13A" -0.286576388888889 1.16621342592593 -3.24944910063345 0.0283678891845625 0.999214098786458 -3.44100754568964
"RRP36" -0.110825529100529 1.06380709325397 -2.65843322429172 0.0359545249713709 0.999214098786458 -3.44370815135442
"PCF11" 0.249106944444445 1.08332103174603 2.95718900544356 0.0295285896300688 0.999214098786458 -3.45271502920348
"LUM" 0.335265873015873 0.92499417989418 3.81372980329567 0.0165927676635268 0.999214098786458 -3.4740358832778
"UB2R2" -0.162343055555556 0.935749603174603 -2.81149147095678 0.0352183550779809 0.999214098786458 -3.47550327314681
"TLS1" 0.225367261904762 1.04800017006803 2.72665232561652 0.0390800385688454 0.999214098786458 -3.53217863992975
"SPN1" 0.166841137566138 1.00828408289242 2.45623027978066 0.042378759750036 0.999214098786458 -3.56702367398068
"GPSM2" 0.268774470899471 1.14026048752834 2.65701086497336 0.0425969854182636 0.999214098786458 -3.57970381031724
"ZCRB1" -0.150225529100529 1.0654904265873 -2.54811377591524 0.0418499211023065 0.999214098786458 -3.58652111871818
"UBXN6" -0.308393055555555 1.15302944444444 -3.21349809395537 0.0428976500184624 0.999214098786458 -3.63027075274976
"XRN2" 0.488123611111111 1.12651611111111 4.03602349237238 0.0229704895748334 0.999214098786458 -3.63043428768334
"KSR1" 9.67895833333333 3.64332291666667 16.4968453568097 0.00198502544914748 0.999214098786458 -3.63806737932664
"E2AK1" 0.906800595238095 0.73453373015873 12.0003027709928 0.00408603346752931 0.999214098786458 -3.65396872388643
"TCAB1" 0.105841137566137 0.975506305114638 2.34494728138038 0.0500603486963688 0.999214098786458 -3.67359945750253
"BT2A1" -0.727900793650794 1.21939947089947 -8.94184017738019 0.00792498714332979 0.999214098786458 -3.68015327545035
"H12" 0.286106944444444 1.19838277777778 3.05722992239449 0.0488579744734207 0.999214098786458 -3.68408120943236
"SEN34" 0.268607804232804 1.00163723544974 2.61424917401504 0.0551566790826366 0.999214098786458 -3.70115513742041
"TS101" 0.313941137566138 0.942740426587302 2.40351805562893 0.0511561317758812 0.999214098786458 -3.70222814099171
"UBP42" 6.01110694444445 6.39837453703704 2.69017684389349 0.0507667711914309 0.999214098786458 -3.70771113798036
"MGST1" -1.69890079365079 1.26688293650794 -7.06946440256212 0.0133733125259908 0.999214098786458 -3.71383880542068
"S10AD" -0.0924921957671957 0.981728527336861 -2.30275782556862 0.0533299649075171 0.999214098786458 -3.71425391420655
"UB2Q1" -0.520400793650794 1.33088293650794 -6.60794480636896 0.0155216534028834 0.999214098786458 -3.72635616901294
"CSN1" 0.202174470899471 0.98861741622575 2.27670848887664 0.0554557207469194 0.999214098786458 -3.73941185617939
"HSP13" -0.232900793650794 1.13050634920635 -3.42199179451182 0.0362777504595032 0.999214098786458 -3.74782907811829
"CCYL1" -0.0814921957671955 1.09172852733686 -2.26671832020142 0.0562934644960835 0.999214098786458 -3.74907044673029
"LCMT1" 0.0838411375661376 1.01680709325397 2.30594757602681 0.0586353286715037 0.999214098786458 -3.75307333305505
"MYDGF" 0.694388888888889 1.0602962962963 5.78379859087386 0.0207771201235682 0.999214098786458 -3.75559690668321
"DTD1" -0.637393055555556 1.41420787037037 -2.56744078056495 0.0580766632811596 0.999214098786458 -3.77412125117091
"DREB" 0.46447619047619 1.08165873015873 5.12937610454211 0.0269368514617173 0.999214098786458 -3.78784505628341
"DPYL3" -0.279576388888888 1.11337341269841 -2.39827472995564 0.0590028969786378 0.999214098786458 -3.800912585445
"NR2C2" -0.405376388888889 0.998311805555556 -4.78605426511381 0.0312376544282466 0.999214098786458 -3.80929728618249
"UBL7" 0.143700595238095 1.03129181547619 2.26848844096464 0.0617995962702397 0.999214098786458 -3.81270484852254
"RPN1" -0.408007142857143 0.893985714285714 -4.65099068656539 0.0331959898227184 0.999214098786458 -3.8188105969309
"DPP2" 0.297606944444444 0.883182777777778 2.66898459505694 0.0686882921167819 0.999214098786458 -3.83620655629239
"RS28" -0.201016071428572 0.918446904761905 -2.66164379480852 0.0691491737171734 0.999214098786458 -3.83935283367479
"CWC15" 0.103124470899471 1.01236125992063 2.23592585656681 0.0646929976224253 0.999214098786458 -3.83964822361561
"PRIC2" 0.189483928571428 0.956222420634921 2.45060764761351 0.0661560304609888 0.999214098786458 -3.84000635585249
"SYMC" -0.670393055555555 1.02795347222222 -2.65922195649543 0.0693020437967345 0.999214098786458 -3.84039312214915
"RBMS1" 0.457774470899471 1.0249904265873 2.22657709807514 0.0655491508837046 0.999214098786458 -3.84740311016327
"ZC3H4" -0.262559722222222 0.966849444444444 -2.628764410214 0.071259816883854 0.999214098786458 -3.85357311595451
"GBB4" 0.123507804232804 0.992839638447972 2.15697246743311 0.0663771395576521 0.999214098786458 -3.8554670991347
"RHG36" 0.149106944444444 1.13638277777778 2.59425737303408 0.0735590239540341 0.999214098786458 -3.86872399554504
"SYDC" 0.453388888888889 1.19555555555556 3.98102075196934 0.0459739821925022 0.999214098786458 -3.8775370008613
"CRLF3" 0.604658333333334 2.10333958333333 6.59930312438284 0.0155664268492589 0.999214098786458 -3.87766635963702
"FLNC" 0.622658333333334 1.46208958333333 6.36314289336302 0.0168644934750976 0.999214098786458 -3.88329978693654
"S43A3" 0.302888888888889 1.15530555555556 3.91866073167236 0.047495389495275 0.999214098786458 -3.88418555592473
"SC61G" -8.25186746031746 3.80605301587302 -2.87642862237604 0.057077432637255 0.999214098786458 -3.88827039540879
"NUMA1" 0.183791137566138 1.03336125992063 2.17009550314905 0.0709745417804793 0.999214098786458 -3.89442631681382
"RGPS2" -0.521743055555556 0.922653472222222 -3.81919624925321 0.0500704983176111 0.999214098786458 -3.89528964920675
"UBP8" -0.230393055555555 1.1970412037037 -2.34645176350214 0.0744318865517563 0.999214098786458 -3.90090368738068
"RB11A" 0.899975 1.21930833333333 3.74882833430501 0.0520107424701568 0.999214098786458 -3.90353657077755
"ITIH3" -0.481893055555556 1.09260674603175 -2.23618274177798 0.072656057175861 0.999214098786458 -3.9117608866551
"SET" -0.330243055555555 1.09583796296296 -3.65660920589982 0.0547147998685424 0.999214098786458 -3.914865416115
"I2BP2" 0.274958333333334 1.05598611111111 3.57512766160366 0.0572685906348998 0.999214098786458 -3.9253953348933
"UFC1" -0.264025 1.16375625 -3.52069649992887 0.0590671377513372 0.999214098786458 -3.93271598308245
"HPS5" -0.0970421957671954 1.01692239229025 -2.14333075937972 0.0819527191945103 0.999214098786458 -3.95568885397264
"SBNO2" 0.338156944444444 1.13515231481481 2.20262957590499 0.087813430555992 0.999214098786458 -3.96453568622462
"UBP7" -0.204409722222222 1.06732277777778 -2.60291183028439 0.0729740885099378 0.999214098786458 -3.97486203089281
"IPO8" -0.177475 1.18267083333333 -2.31362143705996 0.0772747786449076 0.999214098786458 -3.97996332287432
"XYLB" -0.239734126984127 1.06817724867725 -3.17668862812899 0.0724509010434019 0.999214098786458 -3.9849184531959
"PMS1" -0.118158862433863 1.07339519400353 -2.02326973287149 0.0811223774945241 0.999214098786458 -3.98543359837542
"GOSR1" -0.237876388888889 1.20756180555556 -3.16754758419535 0.072861003373487 0.999214098786458 -3.98645899651324
"ELK1" 0.18543253968254 0.909239682539682 2.33055659332602 0.094402627040231 0.999214098786458 -3.99232842641279
"PNO1" 0.252099206349206 0.951132936507936 3.11415988336034 0.0753207313861663 0.999214098786458 -3.99563018207719
"ARL1" -1.16250714285714 1.06660857142857 -2.54206673526352 0.0772084212625833 0.999214098786458 -3.9957802783207
"KTN1" -0.325900793650794 1.15739947089947 -3.1058654936827 0.0757130190435366 0.999214098786458 -3.99708208575661
"DUOX2" -0.351690476190476 0.880660714285714 -3.93272648213374 0.0471461766015478 0.999214098786458 -3.99789679239422
"HAP28" -0.342594444444444 0.993214814814815 -2.32677614950597 0.0761214356682494 0.999214098786458 -4.00128429347437
"M3K4" -0.159375529100529 1.06269134920635 -2.14440703209774 0.0939669746990978 0.999214098786458 -4.00428648424474
"SETD2" 0.149774470899471 0.928403344671202 2.07828875802346 0.0892029629645362 0.999214098786458 -4.00600067306172
"5NTC" 1.06562361111111 1.24511611111111 2.48779479859669 0.0812361511771472 0.999214098786458 -4.01496879717231
"FKBP7" 0.0975078042328046 1.00295074955908 1.99179855804817 0.0850382392045941 0.999214098786458 -4.01600862176112
"RN149" -0.561427777777777 0.985463888888889 -2.99834638229458 0.0810602314675847 0.999214098786458 -4.01658696392807
"AAPK1" 0.449490277777778 1.44303531746032 2.05800787631581 0.0915981382333847 0.999214098786458 -4.02178336141057
"RHG24" 0.338765873015873 0.952382936507936 2.94560395693214 0.0838721419289916 0.999214098786458 -4.02663700589925
"AK1D1" -0.287858333333333 0.996405 -2.43241667768241 0.0856076691472732 0.999214098786458 -4.03507141923758
"INT12" -0.436559722222223 0.966263425925926 -2.12007304312147 0.0966773994078892 0.999214098786458 -4.03996662838552
"EF1D" 1.31985833333333 1.70717083333333 2.19733801840353 0.088354013117639 0.999214098786458 -4.04047282370246
"NDUS7" 0.467641666666667 0.866205 2.41621485587225 0.0869392911105245 0.999214098786458 -4.04105365796846
"CE051" 0.460167261904762 1.13583363095238 2.86058566985118 0.0886905600358872 0.999214098786458 -4.04354226447386
"S38A2" -0.297444444444444 1.00405555555556 -3.4216714443053 0.0625445245920898 0.999214098786458 -4.04794310759701
"GLRX1" -0.223832738095238 0.936558630952381 -2.80833343697113 0.0918394453451422 0.999214098786458 -4.05438220214572
"RSF1" 0.388940277777778 1.12576342592593 2.09116319067271 0.100008874656247 0.999214098786458 -4.05834738778016
"DFFA" 0.476309523809524 0.903602380952381 3.31358549374161 0.0666701261007325 0.999214098786458 -4.06066944476426
"DSCAM" 0.818033928571429 1.08333350340136 2.00624398090299 0.0980190872689285 0.999214098786458 -4.06225138196281
"HS71A" -0.0980588624338622 0.992831916099773 -1.99789461050645 0.0990976323368738 0.999214098786458 -4.06880204767707
"LEMD2" 0.294123611111111 0.638811805555556 2.71814463973019 0.0976395184338382 0.999214098786458 -4.07393821361871
"ATRAP" 0.165072222222222 1.04157111111111 2.32777472767882 0.0946574711297187 0.999214098786458 -4.074521996688
"ERCC5" 0.229300595238095 1.05340029761905 2.70798120709486 0.0983237865708061 0.999214098786458 -4.07621133610861
"ZN579" -0.102492195767196 1.10506186067019 -1.91680916053745 0.0951289812665242 0.999214098786458 -4.0887317713796
"NUSAP" 0.113106944444445 1.03542944444444 2.13047089980766 0.11498818431667 0.999214098786458 -4.09546878955791
"FYCO1" -0.137893055555555 1.12970787037037 -2.03185057959583 0.107241201064204 0.999214098786458 -4.09646510097369
"SMCR8" 0.261555555555556 0.863080555555555 3.03565587969056 0.0791480610611519 0.999214098786458 -4.09763862975086
"PDE6D" -0.476050793650793 0.762633015873016 -2.12089794413407 0.116098095593755 0.999214098786458 -4.10060437443722
"LBR" 0.124332539682539 1.01145215419501 1.94970905404421 0.105565786601657 0.999214098786458 -4.10672090005321
"REQU" 0.163700595238095 1.03753908730159 1.99370168392451 0.112190818250416 0.999214098786458 -4.10968633528844
"P4R3B" -0.374900793650794 0.956906349206349 -2.23817006343845 0.103317744379756 0.999214098786458 -4.10984633276208
"SETB1" 0.289967261904762 0.945433531746032 2.00936916155833 0.110128840243786 0.999214098786458 -4.11105080143207
"SODC" -0.0938755291005287 1.00536524943311 -1.93612469899967 0.107466607298859 0.999214098786458 -4.1174433643459
"WDR5" 0.389174470899471 0.96361741622575 1.88420349071067 0.0998711746862867 0.999214098786458 -4.12026593225663
"TF2B" -0.334840476190476 1.15917738095238 -2.49435432709134 0.114324888963871 0.999214098786458 -4.12745577843715
"ACOT9" -0.0864921957671956 1.05483963844797 -1.87027675754092 0.101965663789435 0.999214098786458 -4.13371429896961
"SPTC1" 0.220800595238095 0.998006904761905 2.17887623526988 0.109561816548562 0.999214098786458 -4.1340099215304
"KPCI" -0.116492195767196 1.01272852733686 -1.8660765170462 0.102605629733389 0.999214098786458 -4.1377675931433
"GON7" -0.248007142857143 1.06498571428571 -2.43288771517987 0.11956691301377 0.999214098786458 -4.1434958188948
"AP1S1" 45.9065555555556 57.5849444444444 399.910767812848 0.000305813965067384 0.411013969050565 -4.14560675099282
"MK08" -0.0753755291005287 1.03381959325397 -1.87206944858584 0.108114424310629 0.999214098786458 -4.1458258288621
"TRA2B" 0.108983928571429 0.967055753968254 1.95541307299403 0.117406824668504 0.999214098786458 -4.14635031091983
"SRGP1" 3.596625 3.19101944444444 31.3316703437755 0.008143045673295 0.999214098786458 -4.14711029041303
"TM1L1" -3.45234166666667 6.3544625 -30.0747592573817 0.00858390485408147 0.999214098786458 -4.14723910891864
"GHITM" 2.58830952380952 1.86543650793651 22.5478221242567 0.0124370401625534 0.999214098786458 -4.14851323428411
"PODXL" 2.57965833333333 5.704675 22.4724580682093 0.0124907330872464 0.999214098786458 -4.14853274904871
"IBP5" -2.40134166666667 1.1189625 -20.9190687054593 0.0136964926244158 0.999214098786458 -4.14898287480882
"IF4G1" 2.39430952380952 22.4221547619048 20.8578088349389 0.0137482596636249 0.999214098786458 -4.14900270183215
"OFD1" -2.33634166666667 3.44600833333333 -20.3528271394508 0.0141885695862075 0.999214098786458 -4.14917297946439
"RM40" -1.97069047619048 1.99665476190476 -17.1674901747105 0.0176592493368259 0.999214098786458 -4.15061344287171
"VP35L" -1.85234166666667 1.60534166666667 -16.1365053248642 0.0191218726568998 0.999214098786458 -4.15126999069706
"GGH" 1.68265833333333 4.16000833333333 14.6583244572917 0.0216326605995981 0.999214098786458 -4.15246100025768
"ARMD3" -1.375375 3.02668611111111 -11.9814537515227 0.0280165915389548 0.999214098786458 -4.15582507674455
"MMS19" 1.342625 0.595979166666667 11.6961551163415 0.0288948593118222 0.999214098786458 -4.15632306583891
"LIPC" 0.185990277777778 1.0587496031746 1.88631204045445 0.11474178774732 0.999214098786458 -4.15686754324458
"LEG8" 1.29822222222222 1.11511111111111 11.3093443713566 0.030166185203486 0.999214098786458 -4.1570581717969
"2ABD" -1.24934166666667 0.777008333333333 -10.8835258740467 0.031684704524458 0.999214098786458 -4.15795780829206
"WDFY1" 0.137483928571429 1.0050469047619 2.01472047124942 0.12928000024668 0.999214098786458 -4.1587659386358
"NT5C" 1.16765833333333 1.5374625 10.1719489727626 0.034545959918237 0.999214098786458 -4.15971474609089
"DCTD" -1.09834166666667 2.34000833333333 -9.56810315916533 0.0373545789742373 0.999214098786458 -4.16151479726374
"ROA0" 1.074625 1.26068611111111 9.36149758264478 0.0384098996121363 0.999214098786458 -4.16220978013591
"HBG1" 1.06965833333333 2.403675 9.31823091939592 0.0386375956184461 0.999214098786458 -4.16236103563787
"NAV2" 1.05765833333333 5.99300833333333 9.21369401490204 0.03919769709362 0.999214098786458 -4.16273505774429
"AFAD" 0.220507804232804 1.10395074955908 1.83935882317361 0.106767943710614 0.999214098786458 -4.16351920486161
"TTC12" -1.02634166666667 1.63100833333333 -8.94088173220203 0.0407291547667466 0.999214098786458 -4.16377174673323
"SMG8" -0.17656746031746 1.00892195767196 -1.92817515091529 0.121275496675881 0.999214098786458 -4.16432030666505
"IF5AL" 0.930641666666667 1.533005 2.10540415280731 0.117920995641709 0.999214098786458 -4.16482279991929
"FR1L6" -0.158343055555556 0.906524537037037 -1.91259550535347 0.12354941368344 0.999214098786458 -4.16774949504214
"TAOK1" 0.862658333333334 1.97034166666667 7.51496931687647 0.0508018935755011 0.999214098786458 -4.17107280619885
"DMXL1" -0.379876388888889 1.21878680555556 -2.33137179260146 0.128944589749468 0.999214098786458 -4.17134452005796
"ZFP91" -0.222358333333333 0.508172916666667 -2.32947605499744 0.129128802721082 0.999214098786458 -4.171881117002
"UN93B" -0.217594444444444 0.980857777777778 -2.08420805355552 0.120468908142105 0.999214098786458 -4.17389062582996
"DRG2" 0.225975 1.09875625 2.30926813353942 0.131114176139354 0.999214098786458 -4.17763951334526
"TM119" 0.626475 1.53825625 2.30598294191997 0.13144072852625 0.999214098786458 -4.17858232404121
"CPSF7" -0.866708862433862 1.37650810657596 -1.85732194884842 0.119205128566864 0.999214098786458 -4.17987793494654
"CYB5B" 0.729658333333333 1.390675 6.35635195873595 0.0627894509982859 0.999214098786458 -4.18074361463433
"KAP3" 0.728222222222222 0.836518518518518 6.34384140789721 0.0629456465972521 0.999214098786458 -4.18087601581098
"GALA" -0.164892195767196 1.10013723544974 -1.89236002569376 0.126570994243275 0.999214098786458 -4.18236423180768
"IST1" 0.694658333333333 1.80534166666667 6.05145265396213 0.0668006442222028 0.999214098786458 -4.18419251398267
"SLK" -0.313393055555555 1.1530412037037 -1.89428520285969 0.1262801652413 0.999214098786458 -4.18681167096367
"HOOK3" 0.119291137566139 1.08186125992063 1.82353469426249 0.115778557805463 0.999214098786458 -4.18696896645366
"HNRDL" 0.651625 0.328479166666667 5.67657169923546 0.0723893473391722 0.999214098786458 -4.18916071070904
"H1BP3" 0.356800595238095 1.08634023809524 2.04657977500113 0.125150911050085 0.999214098786458 -4.19018398327282
"SRPRA" 0.627309523809524 0.791436507936508 5.46474964821487 0.0759222872776336 0.999214098786458 -4.19239428624557
